filmTitle,filmGenre,bookTitle,bookGenre,author,authorName,birthDate
Can-Can (film),,Abe Burrows,,,,
"Careful, He Might Hear You (film)",,"Careful, He Might Hear You (novel)",,http://dbpedia.org/resource/Sumner_Locke_Elliott,Sumner Locke Elliott,
Carlton Your Doorman,,David Davis (TV producer),,,,
Carlton Your Doorman,,Lorenzo Music,,,,
Carlton Your Doorman,,Allan Burns,,,,
Carlton Your Doorman,,James L. Brooks,,,,
Carousel (film),,Oscar Hammerstein II,,,,
Chal Chala Chal,,Varavelpu,,,,
Chala Mussaddi... Office Office,,Office Office,,http://dbpedia.org/resource/Ashwni_Dhir,Ashwni Dhir,1968-09-23
Challenge 2,,Dookudu,,,,
Chambal (film),,D. K. Ravi,,,,
Charing Cross Road (film),,Clay Keyes,,,,
Cheech & Chong's The Corsican Brothers,,The Corsican Brothers,,"http://dbpedia.org/resource/Alexandre_Dumas,_père","Alexandre Dumas, père",
Chellata (film),,Pulival Kalyanam,,,,
Cheluva,,Hello Brother (1994 film),,,,
Chhoti Bahu,,Muddu Bidda,,,,
Chicken Little (2005 film),,Chicken Little,,,,
Children's Island (film),,P. C. Jersild,,,,
Chinarayudu,,Chinna Gounder,,,,
Chit A Mhya (1940 film),,The Toy Wife,,,,
Circle of Friends (1995 film),,Maeve Binchy,Travel writing,,,
Clara's Heart,,Joseph Olshan,,,,
Clash of the Titans (1981 film),,Perseus,,,,
Claudelle Inglish,,Erskine Caldwell,,,,
Clint (film),,Edmund Thomas Clint,,,,
Coco Chanel & Igor Stravinsky,,Chris Greenhalgh,,,,
Comet in Moominland (film),,Comet in Moominland,,http://dbpedia.org/resource/Tove_Jansson,Tove Jansson,1914-08-09
Coolie (1997 film),,Coolie No. 1 (1995 film),,,,
Coolie No. 1 (1995 film),,P. Kalaimani,,,,
Coonskin (film),,Uncle Remus,,,,
Cornered (1924 film),,Zelda Sears,,,,
Counsel for Crime,,Harold Shumate,,,,
Counter-Espionage,,Louis Joseph Vance,,,,
Crescendo (1970 film),,Alfred Shaughnessy,,,,
Curious George 2: Follow That Monkey!,,Alan Shalleck,,,,
Curious George 2: Follow That Monkey!,,Margret Rey,,,,
Curious George 2: Follow That Monkey!,,H.A. Rey,,,,
Curse of the Fly,,The Fly (Langelaan),,http://dbpedia.org/resource/George_Langelaan,George Langelaan,1908-01-19
Cyclops (1982 film),,Ranko Marinković,,,,
DC League of Super-Pets,,Lists of DC Comics characters,,,,
Dajjal: The Slayer and His Followers,,Al-Masih ad-Dajjal,,,,
Damaad,,Mouchak,,,,
Damn Yankees,,The Year the Yankees Lost the Pennant,,http://dbpedia.org/resource/Douglass_Wallop,Douglass Wallop,1920-03-08
Damn Yankees (1958 film),,Richard Adler,,,,
Damn Yankees (1958 film),,Jerry Ross (composer),,,,
Dancers (film),,Jules Perrot,,,,
Dancers (film),,Jean Coralli,,,,
Dangerous Love (1920 film),,Charles E. Winter,,,,
Dark Chocolate (film),,Sheena Bora murder case,,,,
Darth Maul: Apprentice,,Darth Maul,,,,
Daruwane,,Pasanga,,,,
Daud (film),,Kshana Kshanam,,,,
Dead Europe,,Christos Tsiolkas,,,,
Delightfully Dangerous,,Frank Tashlin,,,,
Delusions of Grandeur (film),,Ruy Blas,,,,
Destry Rides Again (musical),,Destry Rides Again,,,,
Devata (1978 film),,Gnana Oli,,,,
Devil's Night: Dawn of the Nain Rouge,,Nain Rouge,,,,
Dharmaveer,,Anand Dighe,,,,
Dharti (1970 film),,Sivandha Mann,,,,
Dhund (2003 film),,I Know What You Did Last Summer,,,,
Dick Tracy (1945 film),,Chester Gould,,,,
Dil Aur Deewaar,,Jeevana Tarangalu,,,,
Dil Diya Dard Liya,,Wuthering Heights,,http://dbpedia.org/resource/Emily_Brontë,Emily Brontë,1818-07-30
Dil Ek Mandir,,Nenjil Or Aalayam,,,,
Dil Hai Ke Manta Nahin,,Chori Chori (1956 film),,,,
Dil Hai Ke Manta Nahin,,It Happened One Night,,,,
Dil Ne Jise Apna Kahaa,,Return to Me,,,,
Dil Tera Diwana (1962 film),,Sabaash Meena,,,,
Disco King (film),,Disco Dancer,,,,
Django Strikes Again,,Django (character),,,,
Do Kaliyaan,,Kuzhandaiyum Deivamum,,,,
Do Lafzon Ki Kahani (film),,Always (2011 film),,,,
Doc Savage: The Man of Bronze,,Lester Dent,,,,
Doc Savage: The Man of Bronze,,Doc Savage,,,,
Doctor Savithri,,Savitri and Satyavan,,,,
Doctors' Wives (1971 film),,Frank G. Slaughter,,,,
Don Muthu Swami,,Oscar (1991 film),,,,
Don Quixote (Cartoon film),,Don Quixote,,http://dbpedia.org/resource/Miguel_de_Cervantes,Miguel de Cervantes,1547-09-29
Dr. Nawariyan,,Munna Bhai M.B.B.S.,,,,
Dracula: A Chamber Musical,,Bram Stoker,Romance novel,,,
Dracula: A Chamber Musical,,Bram Stoker,Gothic fiction,,,
Dragon Tattoo Stories (film series),,Stieg Larsson,,,,
Driver Babu,,Khud-daar,,,,
Dug's Special Mission,,Pete Docter,,,,
Dying for Gold,,Mining in South Africa,,,,
"East Side, West Side (1949 film)",,Marcia Davenport,,,,
Edge of Sanity (film),,Jack the Ripper,,,,
Edward Scissorhands (dance),,Edward Scissorhands,,,,
Ek Duuje Ke Liye,,Maro Charitra,,,,
Ek Khiladi Ek Haseena (film),,Confidence (2003 film),,,,
Ek Villain,,I Saw the Devil,,,,
El Paso (film),,Gladys Atwater,,,,
El camino de Santiago (film),,Santiago Maldonado case,,,,
Elite Squad,,Luiz Eduardo Soares,,,,
"Enemies, A Love Story (film)",,Isaac Bashevis Singer,Prose,,,
Enough Rope (film),,Patricia Highsmith,Romance novel,,,
Enough Rope (film),,Patricia Highsmith,Psychological thriller,,,
Enough Rope (film),,Patricia Highsmith,Crime fiction,,,
Enough Rope (film),,Patricia Highsmith,Thriller (genre),,,
Enter Kyōshirō Nemuri the Swordman,,Renzaburō Shibata,,,,
Esther and the King,,Book of Esther,,,,
Evano Oruvan,,Nishikant Kamat,,,,
Evanukku Engeyo Matcham Irukku,,Guntur Talkies,,,,
FBI Girl,,Rupert Hughes,,,,
Fangs of the Wild (1954 film),,William F. Claxton,,,,
"Farewell, My Lovely (1975 film)",,Raymond Chandler,Crime fiction,,,
"Farewell, My Lovely (1975 film)",,Raymond Chandler,Hardboiled,,,
"Farewell, My Lovely (1975 film)",,Raymond Chandler,Suspense,,,
Fat Pizza,,Pizza (TV series),Black Comedy,,,
Fat Pizza,,Pizza (TV series),Adventure fiction,,,
Fat Pizza,,Pizza (TV series),Slapstick,,,
Fat Pizza,,Pizza (TV series),Off-color humor,,,
Fear No Evil (1969 film),Horror film,Guy Endore,,,,
Fear No Evil (1969 film),Thriller film,Guy Endore,,,,
Feng Shui (2012 film),,Fang Fang,,,,
Fetih 1453,,Fall of Constantinople,,,,
Fire and Sword,,Tristan and Iseult,,,,
Firepower (film),,Michael Winner,,,,
First Comes Courage,,Elliott Arnold,,,,
"Five Days, Five Nights (1996 film)",,Álvaro Cunhal,,,,
Flesh and the Spur,,Mark Hanna,,,,
Flight 90: Disaster on the Potomac,,Air Florida Flight 90,,,,
Flirty Four-Flushers,,O. Henry,,,,
Fool's Mate (1956 film),,Mrs. Bixby and the Colonel's Coat,,,,
Fools for Scandal,,Nancy Hamilton,,,,
Footpath (2003 film),,Angaaray (1998 film),,,,
Four Guns to the Border,,Louis L'Amour,,,,
Franklin and the Green Knight,,Brenda Clark,,,,
Franklin and the Turtle Lake Treasure,,Brenda Clark,,,,
Franklin's Magic Christmas,,Brenda Clark,,,,
Fred (franchise),,Fred Figglehorn,,,,
Fred 3: Camp Fred,Comedy,Fred Figglehorn,,,,
Freedom Radio,,Gordon Wellesley,,,,
Friday (franchise),,DJ Pooh,,,,
Fright Night (franchise),,Tom Holland (filmmaker),,,,
From Hell to Texas,,The Hell Bent Kid,,,,
Gagarin: First in Space,,Vostok 1,,,,
"Gaily, Gaily",,Ben Hecht,,,,
Gambler's Choice,,Howard Emmett Rogers,,,,
Gang of Ghosts,,Bhooter Bhabishyat,,,,
Gangbé!,,Gangbé Brass Band,,,,
Get-Rich-Quick Wallingford (1916 film),,George M. Cohan,,,,
Get-Rich-Quick Wallingford (1916 film),,George Randolph Chester,,,,
Ghar Ghar Ki Kahani (1988 film),,Shanthi Nivasam,,,,
Ghar Sansar,,Maga Maharaju,,,,
Ghoom (film),,Vijay Krishna Acharya,,,,
Gidget Goes Hawaiian,,Frederick Kohner,,,,
Girl Crazy (1932 film),,George Gershwin,,,,
Girl Crazy (1932 film),,Ira Gershwin,Classical music,,,
Girl Crazy (1932 film),,Ira Gershwin,Popular music,,,
Girl Crazy (1932 film),,Jack McGowan,,,,
Girl Crazy (1932 film),,Guy Bolton,,,,
Girl Crazy (1943 film),,George Gershwin,,,,
Girl Crazy (1943 film),,Ira Gershwin,Classical music,,,
Girl Crazy (1943 film),,Ira Gershwin,Popular music,,,
Girl Crazy (1943 film),,Jack McGowan,,,,
Girl Crazy (1943 film),,Guy Bolton,,,,
Goenda Shabor,,Shabor Dasgupta,,,,
Gold Diggers of 1937,,Richard Maibaum,,,,
Goldilocks (film),,Goldilocks and the Three Bears,,http://dbpedia.org/resource/Robert_Southey,Robert Southey,1774-08-12
Goodnight Mommy (2022 film),,Ulrich Seidl,,,,
Goodnight Mommy (2022 film),,Veronika Franz and Severin Fiala,,,,
Graveyard Shift (1990 film),,Stephen King,Genre fiction,,,
Graveyard Shift (1990 film),,Stephen King,Gothic fiction,,,
Graveyard Shift (1990 film),,Stephen King,Crime fiction,,,
Graveyard Shift (1990 film),,Stephen King,Horror fiction,,,
Graveyard Shift (1990 film),,Stephen King,Supernatural fiction,,,
Graveyard Shift (1990 film),,Stephen King,Dark fantasy,,,
Graveyard Shift (1990 film),,Stephen King,Fantasy fiction,,,
Graveyard Shift (1990 film),,Stephen King,Thriller fiction,,,
Graveyard Shift (1990 film),,Stephen King,Drama (fiction),,,
Graveyard Shift (1990 film),,Stephen King,Post-apocalyptic fiction,,,
Graveyard Shift (1990 film),,Stephen King,Suspense fiction,,,
Graveyard Shift (1990 film),,Graveyard Shift (story),,,,
Gremlins 2: The New Batch,,Chris Columbus (filmmaker),,,,
Gunsmoke,,Norman Macdonnell,,,,
Gunsmoke,,John Meston,,,,
Haathi Mere Saathi (1971 film),,Deiva Cheyal,,,,
Halston (film),,Halston,,,,
Hammer of the Gods (2009 film),,Norse mythology,,,,
Happidrome (film),,Happidrome (radio),,,,
Har Dil Jo Pyar Karega,,Chandralekha (1997 film),,,,
Hart's War,,Hart's War (novel),,,,
Head On (1998 film),,Christos Tsiolkas,,,,
Headless Horseman (film),Horror film,Headless Horseman,,,,
Heavy Load (film),,Heavy Load (punk band),Punk Rock,,,
Helter Skelter (1976 film),Crime film,Curt Gentry,,,,
Helter Skelter (1976 film),Drama Film,Curt Gentry,,,,
Helter Skelter (1976 film),Thriller film,Curt Gentry,,,,
Hercules (1997 film),,Heracles,,,,
Hero 420,,Maska (2009 film),,,,
Herostratus (film),,Herostratus,,,,
High Society (1932 film),,Scott Darling (screenwriter),,,,
High Society (musical),,The Philadelphia Story (play),,http://dbpedia.org/resource/Philip_Barry,Philip Barry,1896-06-18
High Society (musical),,High Society (1956 film),,,,
Hillsborough (2014 film),,Hillsborough disaster,,,,
His Majesty O'Keefe,,Gerald Green (author),,,,
Hit the Deck (1955 film),,Vincent Youmans,,,,
Hit the Deck (1955 film),,Clifford Grey,,,,
Hit the Deck (1955 film),,Leo Robin,,,,
Hollywood Pinafore,,H.M.S. Pinafore,,,,
Hollywood Pinafore,,Gilbert and Sullivan,,,,
Homecoming (1928 film),,Leonhard Frank,,,,
"Honey, We Shrunk Ourselves",,Stuart Gordon,,,,
"Honey, We Shrunk Ourselves",,Ed Naha,,,,
"Honey, We Shrunk Ourselves",,Brian Yuzna,,,,
Hot Gimmick: Girl Meets Boy,,Hot Gimmick,,http://dbpedia.org/resource/Miki_Aihara,Miki Aihara,
Hot Gimmick: Girl Meets Boy,,Shōjo manga,,,,
Hot Mikado,,Gilbert and Sullivan,,,,
Hotel Sorrento,,Hannie Rayson,,,,
House Party 2,,Reginald Hudlin,,,,
House Party 3,,Reginald Hudlin,,,,
House Party: Tonight's the Night,,Reginald Hudlin,,,,
Hudson's Bay (film),,Pierre-Esprit Radisson,,,,
Hugo and Josephine,,Maria Gripe,,,,
Hulchul (2004 film),,Siddique-Lal,,,,
Hum Sab Ullu Hain,,Comedy,,,,
Hum Tum (film),,When Harry Met Sally...,,,,
I Am Bolt,,Usain Bolt,,,,
I Killed That Man,,David Silverstein,,,,
I Love Trouble (1948 film),,Roy Huggins,,,,
I Loved a Woman,,David Karsner,,,,
I Married an Angel,,Johann von Vásáry,,,,
I'll Sleep When I'm Dead (2016 film),,Steve Aoki,Electro house,,,
I'll Sleep When I'm Dead (2016 film),,Steve Aoki,Electronic dance music,,,
I'll Sleep When I'm Dead (2016 film),,Steve Aoki,Trap music (EDM),,,
I'll Sleep When I'm Dead (2016 film),,Steve Aoki,Dutch house,,,
I'll Sleep When I'm Dead (2016 film),,Steve Aoki,Big room house,,,
I've Been Waiting for You (film),Horror film,Lois Duncan,Supernatural fiction,,,
I've Been Waiting for You (film),Horror film,Lois Duncan,Picture books,,,
I've Been Waiting for You (film),Horror film,Lois Duncan,Young adult literature,,,
I've Been Waiting for You (film),Horror film,Lois Duncan,Poetry,,,
I've Been Waiting for You (film),Horror film,Lois Duncan,Children's literature,,,
I've Been Waiting for You (film),Horror film,Lois Duncan,Mystery fiction,,,
Idi Katha Kaadu,,Avargal,,,,
Ihmiset suviyössä (film),,Ihmiset suviyössä,,http://dbpedia.org/resource/Frans_Eemil_Sillanpää,Frans Eemil Sillanpää,1888-09-16
Illalu Priyuralu,,Masoom (1983 film),,,,
In the Absence,,Sinking of MV Sewol,,,,
Incident in an Alley,,Rod Serling,Horror fiction,,,
Incident in an Alley,,Rod Serling,Science fiction,,,
Incident in an Alley,,Rod Serling,Speculative fiction,,,
India Untouched: Stories of a People Apart,,Untouchability,,,,
Indra Bhavanam,,Swarg,,,,
Inherit the Wind (1999 film),Drama,Robert E. Lee (playwright),,,,
Inspector Clouseau (film),,Blake Edwards,,,,
Inspector Clouseau (film),,Maurice Richlin,,,,
Ip Man (film series),,Ip Man,,,,
Irvine Welsh's Ecstasy,,Irvine Welsh,,,,
Is Paris Burning? (film),,Dominique Lapierre,,,,
Island of Lost Men,,Frank Butler (writer),,,,
Island of Lost Men,,Norman Reilly Raine,,,,
It Happened Tomorrow,,Lord Dunsany,Crime fiction,,,
It Happened Tomorrow,,Lord Dunsany,Horror fiction,,,
It Happened Tomorrow,,Lord Dunsany,High fantasy,,,
It Happened Tomorrow,,Lord Dunsany,Weird fiction,,,
It Happened Tomorrow,,Lewis R. Foster,,,,
Ittefaq (1969 film),,Signpost to Murder,,,,
Ivanhoe (1982 film),Romance film,Sir Walter Scott,,,,
Ivanhoe (1982 film),Epic film,Sir Walter Scott,,,,
Ivanhoe (1982 film),Drama (film and television),Sir Walter Scott,,,,
Ivanhoe (1982 film),Historical drama,Sir Walter Scott,,,,
Ivanhoe (1982 film),Adventure film,Sir Walter Scott,,,,
Jaan Se Pyaara,,Shivashankar,,,,
Jaan Se Pyaara,,Heart of Dragon,,,,
Jaanam,,Bobby (1973 film),,,,
Jack and the Beanstalk (1933 film),,Jack and the Beanstalk,,,,
Jack the Giant Killer (1962 film),,Jack the Giant Killer,,,,
Jack's the Boy,,Douglas Furber,,,,
Jael and Sisera (film),,Book of Judges,,,,
Jagath Kiladi,,Gopi Kishan,,,,
Jamie Marks Is Dead,,One for Sorrow (novel),,http://dbpedia.org/resource/Christopher_Barzak,Christopher Barzak,1975-07-21
Jaws (franchise),,Peter Benchley,,,,
Jekyll & Hyde (musical),,Robert Louis Stevenson,,,,
Jekyll & Hyde (musical),,The Strange Case of Dr Jekyll and Mr Hyde,,,,
Jerry Maguire,,Leigh Steinberg,,,,
"Jesús, nuestro Señor",,Four Evangelists,,,,
Jewel Robbery,,Ladislas Fodor,,,,
Jhumkee,,Violence against women,,,,
Jibondhuli,,Bangladesh Liberation War,,,,
Jobriath A.D.,,Jobriath,Psychedelic pop,,,
Jobriath A.D.,,Jobriath,Glam rock,,,
Jobs (film),,Steve Jobs,,,,
John Henry (2000 film),,John Henry (folklore),,,,
Johnny Come Lately,,Louis Bromfield,,,,
Joseph: King of Dreams,,Book of Genesis,,,,
"Joshua Tree, 1951: A Portrait of James Dean",,James Dean,,,,
Judwaa,,Hello Brother (1994 film),,,,
Jungle Jim (serial),,Alex Raymond,,,,
Justice League (film),,Lists of DC Comics characters,,,,
K: Missing Kings,,K (TV series),,,,
Kaala Patthar,,Chasnala mining disaster,,,,
Kabzaa,,On the Waterfront,,,,
Kalaakaar,,Payanangal Mudivathillai,,,,
Kalyug (1981 film),,Mahabharata,,,,
Kamaal Dhamaal Malamaal,,Marykkundoru Kunjaadu,,,,
Kanden Kadhalai,,Jab We Met,,,,
Kandukondain Kandukondain,,Jane Austen,,,,
Katyar Kaljat Ghusali (film),,Katyar Kaljat Ghusli (play),,,,
Keane of Kalgoorlie,,Arthur Wright (writer),,,,
Khaak Aur Khoon (film),,Khaak Aur Khoon (novel),,http://dbpedia.org/resource/Naseem_Hijazi,Naseem Hijazi,1914-05-19
Khandan (1965 film),,Bhaaga Pirivinai,,,,
Khoka 420,,Brindavanam (2010 film),,,,
"Kidnapping, Caucasian Style!",,Leonid Gaidai,,,,
Kids of the Round Table,,Arthurian legend,,,,
Killing Veerappan,,Operation Cocoon,,,,
King David (film),,Old Testament,,,,
Kiss Me Goodbye (film),,Eduardo Coutinho,,,,
Koti Chennaya,,Koti and Chennayya,,,,
Krishna (film series),,Krishna,,,,
Kull the Conqueror,,Robert E. Howard,Boxing,,,
Kull the Conqueror,,Robert E. Howard,Sword and sorcery,,,
Kull the Conqueror,,Robert E. Howard,Horror fiction,,,
Kull the Conqueror,,Robert E. Howard,Southern Gothic,,,
Kull the Conqueror,,Robert E. Howard,Western fiction,,,
Kull the Conqueror,,Robert E. Howard,Historical novel,,,
Kull the Conqueror,,Kull of Atlantis,,,,
Kunwara Baap (1974 film),,The Kid (1921 film),,,,
L'Épervier,,Francis de Croisset,,,,
La tigre è ancora viva: Sandokan alla riscossa!,,Emilio Salgari,Western fiction,,,
La tigre è ancora viva: Sandokan alla riscossa!,,Emilio Salgari,Adventure fiction,,,
La tigre è ancora viva: Sandokan alla riscossa!,,Emilio Salgari,Science fiction,,,
La tigre è ancora viva: Sandokan alla riscossa!,,Emilio Salgari,Historical novel,,,
Ladies They Talk About,,Dorothy Mackaye,,,,
Lav Kush,,Valmiki,,,,
Lav Kush,,Uttar Ramayan,,,,
Lava Kusa,,Uttararamacarita,,,,
Lego DC Comics Super Heroes: Justice League – Cosmic Clash,,DC Comics,Superhero fiction,,,
Lego DC Comics Super Heroes: Justice League – Cosmic Clash,,DC Comics,Action fiction,,,
Lego DC Comics Super Heroes: Justice League – Cosmic Clash,,DC Comics,Adventure fiction,,,
Lego DC Comics Super Heroes: Justice League – Cosmic Clash,,DC Comics,Science fiction,,,
Lego DC Comics Super Heroes: Justice League – Cosmic Clash,,DC Comics,Fantasy fiction,,,
Lego Scooby-Doo! Blowout Beach Bash,,Lego,,,,
Lego Scooby-Doo! Haunted Hollywood,,Lego,,,,
Lensman (1984 film),,E. E. Smith,Space opera,,,
Let's Dance (1950 film),,Maurice Zolotow,,,,
