filmTitle,filmGenre,bookTitle,bookGenre,author,authorName,birthDate
Manon Lescaut (1926 film),,Abbe Prevost,,,,
Maqsad,,Mundadugu,,,,
Mara Maru,,Hollister Noble,,,,
Mara Maru,,Sidney Harmon,,,,
Masquerade (1941 film),,Masquerade (play),,http://dbpedia.org/resource/Mikhail_Lermontov,Mikhail Lermontov,
Mass Effect: Paragon Lost,,BioWare,,,,
Mass Effect: Paragon Lost,,Mass Effect 2,Action role-playing game,,,
Mass Effect: Paragon Lost,,Mass Effect 2,Third-person shooter,,,
Massacre (1956 film),,William Tunberg (screenwriter),,,,
Mayerling (1968 film),,Claude Anet,,,,
Meda Meeda Abbayi,,Oru Vadakkan Selfie,,,,
Meet the Raisins!,,The California Raisins,,,,
Mehndi Rang Layegi,,Gorintaku (1979 film),,,,
Men in Black (film series),,The Men in Black (comics),,,,
Mera Saaya,,Raja Paranjape,,,,
Merry Madagascar,,Tom McGrath (animator),,,,
Merry Madagascar,,Eric Darnell,,,,
Milan (1967 film),,Mooga Manasulu,,,,
Minyan (film),,David Bezmozgis,,,,
Miquette (1950 film),,Gaston Arman de Caillavet,,,,
Miquette (1950 film),,Robert de Flers,,,,
Mirzya (film),,Mirza Sahiban,,,,
Miss Evers' Boys,Historical drama,David Feldshuh,,,,
Mister Cory,,Leo Rosten,,,,
Mobile Suit Gundam 00 the Movie: A Wakening of the Trailblazer,,Mobile Suit Gundam 00,,,,
Mobile Suit Gundam 00 the Movie: A Wakening of the Trailblazer,,Gundam,,,,
Mojugara Sogasugara,,Ramudu Bheemudu,,,,
Monkey: Journey to the West,,Journey to the West,,http://dbpedia.org/resource/Wu_Cheng'en,Wu Cheng'en,
Monte Walsh (1970 film),,Jack Schaefer,,,,
Mookajjiya Kanasugalu (film),,Mookajjiya Kanasugalu (novel),,http://dbpedia.org/resource/K._Shivaram_Karanth,K. Shivaram Karanth,
Most Dangerous Man Alive,,Leo Gordon,,,,
Most Dangerous Man Alive,,Michael Pate,,,,
Mother (1999 film),,Mamma Mia! (musical),,http://dbpedia.org/resource/Catherine_Johnson_(playwright),Catherine Johnson (playwright),
Mr. Arkadin,,Harry Alan Towers,,,,
Mr. Bechara,,Veetla Visheshanga,,,,
Mr. and Mrs. Khiladi,,Aa Okkati Adakku,,,,
Mrs Henderson Presents (musical),,Mrs Henderson Presents,,,,
Mrs Henderson Presents (musical),,Martin Sherman,,,,
Mt. Head,,Rakugo,,,,
Mughal-e-Azam (musical),,Mughal-e-Azam,,,,
Muhammad: The Messenger of God (film),,Muhammad,,,,
Muktir Kotha,,Bangladesh Liberation War,,,,
Murder (2004 film),,Unfaithful (2002 film),,,,
Murder by Decree,,Elwyn Jones (writer),,,,
Murder by Decree,,Sir Arthur Conan Doyle,,,,
Murder in the Big House,,Jerry Chodorov,,,,
Murder!,,Clemence Dane,,,,
Murder!,,Helen Simpson (Australian writer),,,,
Murphy's Romance,,Max Schott,,,,
My Gun Is Quick (film),,Mickey Spillane,Detective fiction,,,
My Gun Is Quick (film),,Mickey Spillane,Hardboiled,,,
My Japanese Niece,,Battle of Imphal,,,,
My Japanese Niece,,World War II,,,,
My Wife's Murder,,Madhyanam Hathya,,,,
Mystery Liner,,Edgar Wallace,,,,
NASCAR Race Hub,News program,NASCAR,,,,
NTR: Kathanayakudu,,Nandamuri Taraka Ramarao,,,,
Nader Nimai,,Chaitanya Mahaprabhu,,,,
Nandeeswarudu,,Deadly Soma,,,,
Nanu Ki Jaanu,,Pisaasu,,,,
Narsinh Mehta (film),,Narsinh Mehta,,,,
Naruda Donoruda,,Vicky Donor,,,,
Naughty @ 40,,Judd Apatow,,,,
Naughty @ 40,,Steve Carell,,,,
Navaratri (1966 film),,Navarathri (1964 film),,,,
Nayika Devi: The Warrior Queen,,Naiki Devi,,,,
Nazrana (1961 film),,Kalyana Parisu,,,,
Neenello Naanalle,,Maine Pyar Kiya,,,,
Never Say Goodbye (1956 film),,Luigi Pirandello,Poetry,,,
Never Say Goodbye (1956 film),,Luigi Pirandello,Novel,,,
Never Say Goodbye (1956 film),,Luigi Pirandello,Drama,,,
New Delhi (1988 Kannada film),,New Delhi (1987 film),,,,
Next Time We Love,,Ursula Parrott,Romantic fiction,,,
Nilachaley Mahaprabhu,,Chaitanya Mahaprabhu,,,,
Nindu Manishi,,Samadhi (1972 film),,,,
Nippulanti Manishi (1986 film),,Qayamat (1983 film),,,,
Nirmon,,Enoch Arden,,,,
No One Killed Jessica,,Murder of Jessica Lal,,,,
No Room for the Groom,,Darwin L. Teilhet,,,,
No Time for Sergeants (film),,Mac Hyman,,,,
No Time for Sergeants (film),,Ira Levin,,,,
"No, No, Nanette (1930 film)",,Frank Mandel,,,,
"No, No, Nanette (1930 film)",,Otto A. Harbach,,,,
Not as a Stranger,,Morton Thompson,,,,
Note (film),,Bako National Park,,,,
Notorious (2009 film),,The Notorious B.I.G,,,,
Number 96 (film),,Number 96 (TV series),Soap opera,http://dbpedia.org/resource/Eleanor_Witcombe,Eleanor Witcombe,1923-09-20
Number 96 (film),,Number 96 (TV series),Soap opera,http://dbpedia.org/resource/Ken_Shadie,Ken Shadie,1935-12-08
Number 96 (film),,Number 96 (TV series),Soap opera,http://dbpedia.org/resource/David_Sale,David Sale,
Number 96 (film),,Number 96 (TV series),Soap opera,http://dbpedia.org/resource/Lynn_Foster,Lynn Foster,
Number 96 (film),,Number 96 (TV series),Soap opera,http://dbpedia.org/resource/Johnny_Whyte,Johnny Whyte,
Ogawa no Hotori,,Shuhei Fujisawa,,,,
Oh Doctor! (1925 film),,Harry Leon Wilson,,,,
"Oh, Mr Porter!",,Arnold Ridley,,,,
Ombattane Dikku,,Kurangu Bommai,,,,
On Expenses,,United Kingdom parliamentary expenses scandal,,,,
On Secret Service,,Robert Baberske,,,,
On Secret Service,,Georg C. Klaren,,,,
On Secret Service,,Max W. Kimmich,,,,
On the Job: The Missing 8,,On the Job (2013 film),,,,
Once (musical),,John Carney (director),,,,
Once (musical),,Once (film),,,,
Once Upon a Mattress,,The Princess and the Pea,,http://dbpedia.org/resource/Hans_Christian_Andersen,Hans Christian Andersen,1805-04-02
One of Our Dinosaurs Is Missing,,David Forrest (pseudonym),,,,
Onna Babo,,Baby's Day Out,,,,
Open Season 2,,Steve Moore (cartoonist),,,,
Open Season 3,,Steve Moore (cartoonist),,,,
Open Season: Scared Silly,,Anthony Stacchi,,,,
Open Season: Scared Silly,,Steve Moore (cartoonist),,,,
Open Season: Scared Silly,,Jill Culton,,,,
Operation Petticoat,,Paul King (screenwriter),,,,
Operation Romeo (film),,Ishq (2019 film),,,,
Oranges and Sunshine,,Margaret Humphreys,,,,
Oru Naal Iravil,,Joy Mathew,,,,
Our Huge Adventure,,Little Einsteins,Children's television series,,,
Our Huge Adventure,,Little Einsteins,Comedy,,,
Our Huge Adventure,,Little Einsteins,Science fiction,,,
Our Huge Adventure,,Little Einsteins,Adventure,,,
Our Huge Adventure,,Little Einsteins,Educational,,,
Our Huge Adventure,,Little Einsteins,Musical film,,,
Out of This World (1945 film),,Elizabeth Meehan,,,,
Pabitra Papi,,En Thangachi Padichava,,,,
Paltan (film),,Nathu La and Cho La clashes,,,,
Panchayat (film),,Panchayat (Nepal),,,,
Parachute Jumper,,Rian James,,,,
Paradise Road (1997 film),,Betty Jeffrey,,,,
Paramasivan,,Kartoos,,,,
Paran Jai Jaliya Re,,Namastey London,,,,
Paranormal Activity 2: Tokyo Night,,Oren Peli,,,,
Parmanu: The Story of Pokhran,,Pokhran-II,,,,
Partička,Improvisational comedy,Whose Line Is It Anyway?,,,,
Patela (film),,Raasukutti,,,,
Paul Monette: The Brink of Summer's End,,Paul Monette,,,,
Payal (film),,Mallika (1957 film),,,,
Peggy-Ann,,Edgar Smith (librettist),,,,
Pelli Kanuka (1998 film),,Pardes (1997 film),,,,
Perilous Holiday,,Robert Carson (writer),,,,
Phantom Raiders,,Nick Carter (literary character),,,,
Pirates of Monterey,,Bradford Ropes,,,,
Pirates of the Caribbean (film series),,Pirates of the Caribbean (attraction),,,,
Platinum High School,,Irving Shulman,,,,
Pocahontas (1995 film),,Pocahontas,,,,
Pooja Ke Phool,,Kumudham,,,,
Poorna: Courage Has No Limit,,Malavath Purna,,,,
Popeye the Sailor Meets Ali Baba's Forty Thieves,,Ali Baba and the Forty Thieves,,,,
Popeye the Sailor Meets Sindbad the Sailor,,Sindbad the Sailor,,,,
Porgy and Bess (film),,DuBose Heyward,,,,
Pournami (film),,Behind the Sun (film),,,,
Pravegaya,,Polladhavan (2007 film),,,,
Prem Nagar (1974 film),,Prema Nagar,,,,
Prem Pratigyaa,,Vandichakkaram,,,,
Prince Igor (1969 film),,Prince Igor,,,,
Prison Without Bars,,Gina Kaus,,,,
Prison Without Bars,,Otto Eis,,,,
Prison Without Bars,,Hans Wilhelm (screenwriter),,,,
Private Angelo (film),,Eric Linklater,,,,
Puli Bidda,,Thayige Thakka Maga,,,,
Puppet Master vs Demonic Toys,,David S. Goyer,Screenwriter,,,
Puppet Master vs Demonic Toys,,Charles Band,,,,
Puss in Boots (1934 film),,Puss in Boots,,http://dbpedia.org/resource/Giambattista_Basile,Giambattista Basile,1566-02-15
Puss in Boots (1934 film),,Puss in Boots,,http://dbpedia.org/resource/Charles_Perrault,Charles Perrault,1628-01-12
Puss in Boots (1934 film),,Puss in Boots,,http://dbpedia.org/resource/Giovanni_Francesco_Straparola,Giovanni Francesco Straparola,
Pyar Kiye Jaa,,Kadhalikka Neramillai,,,,
Qaidi (1984 film),,Khaidi (1983 film),,,,
Qiu Jin (film),,Ke Ling,,,,
Qiu Jin (film),,Xia Yan (playwright),,,,
Quest for Zhu,,Zhu Zhu Pets,,,,
Rabeya (2008 film),,Bangladesh Liberation War,,,,
Rags (2012 film),Musical film,Cinderella,,,,
Rahi (film),,Mulk Raj Anand,,,,
Raja Aur Runk,,The Prince and the Pauper,,http://dbpedia.org/resource/Mark_Twain,Mark Twain,1835-11-30
Raja Rani Raji,,Boss Engira Bhaskaran,,,,
Rakhwala (1989 film),,Michael Raj,,,,
Raksha (2008 film),,Phoonk,,,,
Rakta Charitra,,Paritala Ravindra,,,,
Ram-Avtar,,Sangam (1964 Hindi film),,,,
Ravex in Tezuka World,,Osamu Tezuka's Star System,,,,
Ravoyi Chandamama,,An Affair to Remember,,,,
Rebecca (1940 film),,Daphne du Maurier,,,,
Rec 2,,Paco Plaza,,,,
Rec 2,,Jaume Balaguero,,,,
Red Canyon (1949 film),,Zane Grey,Western (genre),,,
Redux Riding Hood,,Little Red Riding Hood,,,,
Return of the Texan,,Fred Gipson,,,,
Rich and Strange,,Dale Collins,,,,
Risk (2001 film),,Tracy Kidder,,,,
Ritual of Evil,Horror film,Richard Alan Simmons,,,,
Ritual of Evil,Drama (film and television),Richard Alan Simmons,,,,
Riverdance: The Animated Adventure,,Riverdance,,,,
Road to Salina,,Denoel Editions,,,,
Romance on the High Seas,,S. Pondal Rios,,,,
Rookery Nook (1970 TV drama),,Rookery Nook (play),,,,
Rough Shoot,,Geoffrey Household,,,,
Rowdy (2022 film),,NASCAR career of Kyle Busch,,,,
Rurouni Kenshin (film),,Nobuhiro Watsuki,,,,
Rustom (film),,K. M. Nanavati vs. State of Maharashtra,,,,
Ruten no umi,,Teru Miyamoto,,,,
S.A.S. à San Salvador,,Gérard de Villiers,,,,
Saathi,,Palum Pazhamum,,,,
Sabse Bada Rupaiya (1976 film),,Kasidre Kailasa,,,,
Sadhu Aur Shaitaan,,Sadhu Mirandal,,,,
Sailing Along,,Selwyn Jepson,,,,
Saina (film),,Saina Nehwal,,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Supernatural fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Horror fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Thriller fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Gothic fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Dark fantasy,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Crime fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Drama (fiction),,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Genre fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Fantasy fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Post-apocalyptic fiction,,,
Salem's Lot (1979 miniseries),Horror fiction,Stephen King,Suspense fiction,,,
Sand (1949 film),,Will James (artist),Western (genre),,,
Sangrama (film),,Arjun (1985 film),,,,
Sanjog (1985 film),,Jeevana Jyothi (1975 film),,,,
Sanrakshan,,Drama,,,,
Sanrakshan,,Thriller film,,,,
Sanrakshan,,Political,,,,
Sanshiro Sugata Part II,,Sanshiro Sugata,,,,
Sant Dnyaneshwar (film),,Jñāneśvar,,,,
Sant Tukaram (film),,Sant Tukaram,,,,
Sargam (1979 film),,Siri Siri Muvva,,,,
Sasural (1961 film),,Illarikam,,,,
Satyavan Savithri,,Savitri and Satyavan,,,,
Savita Bhabhi (film),,Savita Bhabhi,,,,
Scanners II: The New Order,,David Cronenberg,,,,
Scary Movie 2,,Scary Movie,,,,
Sealed Verdict,,Lionel Shapiro,,,,
Secret Agent (1936 film),,W. Somerset Maugham,,,,
Secret Agent (1936 film),,Campbell Dixon,,,,
Secret Window,,Stephen King,Genre fiction,,,
Secret Window,,Stephen King,Gothic fiction,,,
Secret Window,,Stephen King,Crime fiction,,,
Secret Window,,Stephen King,Horror fiction,,,
Secret Window,,Stephen King,Supernatural fiction,,,
Secret Window,,Stephen King,Dark fantasy,,,
Secret Window,,Stephen King,Fantasy fiction,,,
Secret Window,,Stephen King,Thriller fiction,,,
Secret Window,,Stephen King,Drama (fiction),,,
Secret Window,,Stephen King,Post-apocalyptic fiction,,,
Secret Window,,Stephen King,Suspense fiction,,,
Sh! The Octopus,,Donald Gallaher,,,,
Sh! The Octopus,,Ralph Murphy,,,,
Shaakuntalam,,Shakuntala (play),,,,
Shabaash Mithu,,Mithali Raj,,,,
Shakti: The Power,,Anthapuram (1998 film),,,,
Shakuntala Devi (film),,Shakuntala Devi,,,,
Shalom Sesame,Children's television series,Rechov Sumsum,,,,
Shane Warne: The Musical,,Shane Warne,,,,
Shang-Chi and the Legend of the Ten Rings,,Marvel Comics,Superhero fiction,,,
Shang-Chi and the Legend of the Ten Rings,,Marvel Comics,Action fiction,,,
Shang-Chi and the Legend of the Ten Rings,,Marvel Comics,Adventure fiction,,,
Shang-Chi and the Legend of the Ten Rings,,Marvel Comics,Fantasy,,,
Shang-Chi and the Legend of the Ten Rings,,Marvel Comics,Science fiction,,,
Shazam! (film),,Lists of DC Comics characters,,,,
Shazam! Fury of the Gods,,Lists of DC Comics characters,,,,
She Loves Me (film),,Sheldon Harnick,Musical theater,,,
She Loves Me (film),,Jerry Bock,Musical theater,,,
She's the Man,,William Shakespeare,,,,
Shed No Tears (2013 film),,Håkan Hellström,Jangle pop,,,
Shed No Tears (2013 film),,Håkan Hellström,Pop music,,,
Shed No Tears (2013 film),,Håkan Hellström,Soul music,,,
Sherlock Gnomes,,Kelly Asbury,,,,
Shlemiel the First (musical),,Isaac Bashevis Singer,Prose,,,
Short Kut,,Udayananu Tharam,,,,
Shri Ram Bhakta Hanuman,,Valmiki Ramayana,,,,
Shudhu Ekbar Bolo,,Pellichesukundam,,,,
Shutter (2014 film),,Shutter (2012 film),,,,
Siddham (film),,Ab Tak Chhappan,,,,
Sinbad: Legend of the Seven Seas,,Sinbad the Sailor,,,,
Sins of Jezebel,,Books of Chronicles,,,,
Sins of Jezebel,,Books of Kings,,,,
Sixth Happiness,,Trying to Grow,,,,
Sky Murder,,Nick Carter (literary character),,,,
Slugs (1988 film),,Shaun Hutson,Horror fiction,,,
Slugs (1988 film),,Shaun Hutson,Thrillers,,,
Slugs (1988 film),,Shaun Hutson,Suspense,,,
Slugs (1988 film),,Shaun Hutson,Fantasy novel,,,
Smike,,Nicholas Nickleby,,http://dbpedia.org/resource/Charles_Dickens,Charles Dickens,1812-02-07
Snoopy! The Musical,,Charles M. Schulz,,,,
Snowtown (film),,Snowtown murders,,,,
So Long Letty (1929 film),,Elmer Blaney Harris,,,,
So Long Letty (1929 film),,Earl Carroll,,,,
So Long Letty (1929 film),,Oliver Morosco,,,,
Sohni Mahiwal (1946 film),,Sohni Mahiwal,,,,
Sohni Mahiwal (1958 film),,Sohni Mahiwal,,,,
Soho Incident,,Robert Westerby,,,,
Solomon and Sheba,,Books of Chronicles,,,,
Solomon and Sheba,,Books of Kings,,,,
Something's Got to Give,,Samuel and Bella Spewack,,,,
Son of God (film),,New Testament,,,,
Son of the Pink Panther,,Blake Edwards,,,,
Son of the Pink Panther,,Maurice Richlin,,,,
Song of the South,,Joel Chandler Harris,,,,
Soundtrack (film),,It's All Gone Pete Tong,,,,
Spamalot,,Monty Python,Satire,,,
Spamalot,,Monty Python,Surreal humour,,,
Spamalot,,Monty Python,Black comedy,,,
Spamalot,,Monty Python,Wordplay,,,
Spamalot,,Monty Python,Wit,,,
Spamalot,,Monty Python and the Holy Grail,,,,
Spencer's Mountain,,Earl Hamner Jr.,,,,
Square Dance Jubilee,,William L. Nolte,,,,
Sri Siddhartha Gautama (film),,Gautama Buddha,,,,
Starsky & Hutch (film),,William Blinn,,,,
State of Siege: Temple Attack,,Akshardham Temple attack,,,,
Storm Boy (1976 film),,Colin Thiele,,,,
Stranger on the Run,Western (genre),Reginald Rose,,,,
Street of Chance (1942 film),,Cornell Woolrich,,,,
Strictly Business (1962 film),,O. Henry,,,,
Subedar Joginder Singh (film),,Subedar Joginder Singh,,,,
Subways Are for Sleeping,,Harper's,,,,
Sudden Impact,,R.M. Fink,,,,
Sugarfoot (film),,Clarence Budington Kelland,,,,
Suicide Squad (film),,Lists of DC Comics characters,,,,
Sundarakanda (1992 film),,Sundara Kandam,,,,
Super 30 (film),,Anand Kumar,,,,
Sur – The Melody of Life,,Swati Kiranam,,,,
Swarg,,Jog Biyog (novel),,,,
Swimming with Men,,Allt flyter,,,,
Table No. 21,,Indian Constitution,,,,
Taggart (film),,Louis L'Amour,,,,
Tamagotchi: Happiest Story in the Universe!,,Tamagotchi,,,,
Tamagotchi: The Movie,,Tamagotchi,,,,
Tangier (1946 film),,Alice D. G. Miller,,,,
Tarzan (2013 film),,Edgar Rice Burroughs,Lost world (genre),,,
Tarzan (2013 film),,Edgar Rice Burroughs,Western (genre),,,
Tarzan (2013 film),,Edgar Rice Burroughs,Adventure fiction,,,
Tarzan (2013 film),,Edgar Rice Burroughs,Sword and planet,,,
Tarzan (2013 film),,Edgar Rice Burroughs,Soft science fiction,,,
Tarzan (2013 film),,Edgar Rice Burroughs,Planetary romance,,,
Tarzan (2013 film),,Edgar Rice Burroughs,Fantasy fiction,,,
Tathastu,,John Q.,,,,
Taxi No. 9211,,Changing Lanes,,,,
Ted (franchise),,Seth MacFarlane,,,,
Teen Beach 2,Comedy film,Robert Horn (writer),,,,
Teen Beach 2,Musical film,Robert Horn (writer),,,,
Teen Titans Go! To the Movies,,Lists of DC Comics characters,,,,
Ten Little Indians (1989 film),,Agatha Christie,Murder mystery,,,
Ten Little Indians (1989 film),,Agatha Christie,Thriller (genre),,,
Tere Mere Sapne (1971 film),,The Citadel (novel),,http://dbpedia.org/resource/A._J._Cronin,A. J. Cronin,1896-07-19
Teri Baahon Mein,,The Blue Lagoon (1980 film),,,,
Tess of the Storm Country (1932 film),,Rupert Hughes,,,,
Tess of the Storm Country (1932 film),,Grace Miller White,,,,
Thackeray (film),,Bal Thackeray,,,,
Thandri Kodukula Challenge,,Needhikkuppin Paasam,,,,
The 49th Man,,Ivan Tors,,,,
The Addams Family (musical),,The Addams Family,,,,
The Addams Family (musical),,Charles Addams,,,,
The Adventures of Buratino (1975 film),,Buratino,,,,
The Adventures of Jane,,Jane (comic strip),,,,
The Adventures of Mark Twain (1985 film),,Mark Twain,,,,
The Adventures of Sinbad (film),,Sinbad the Sailor,,,,
The Adventures of Tom Sawyer (musical),,The Adventures of Tom Sawyer,,http://dbpedia.org/resource/Mark_Twain,Mark Twain,1835-11-30
The Adventures of Tom Sawyer (musical),,Mark Twain,,,,
The Awakening (1980 film),,Bram Stoker,Romance novel,,,
The Awakening (1980 film),,Bram Stoker,Gothic fiction,,,
The Bachelorette (Australian TV series),,The Bachelorette (American TV series),Dating game show,,,
The Bad Seed (1956 film),,Maxwell Anderson,,,,
The Bad Seed (1956 film),,William March,,,,
The Bad and the Beautiful,,George Bradshaw (writer),,,,
The Batman (film),,Lists of DC Comics characters,,,,
The Battle of Bhima Koregaon: An Unending Journey,,Battle of Koregaon,,,,
The Battle of Stalingrad (film),,Battle of Stalingrad,,,,
The Bed Sitting Room (film),,The Bedsitting Room (play),,http://dbpedia.org/resource/John_Antrobus,John Antrobus,1933-07-02
The Bed Sitting Room (film),,The Bedsitting Room (play),,http://dbpedia.org/resource/Spike_Milligan,Spike Milligan,1918-04-16
The Beggar Maid (film),,Edward Burne-Jones,,,,
The Beggar Maid (film),,King Cophetua and the Beggar Maid (painting),,http://dbpedia.org/resource/Edward_Burne-Jones,Edward Burne-Jones,1833-08-28
The Belle of Mayfair,,Shakespeare,,,,
The Better 'Ole,,Old Bill (cartoon character),,,,
The Bible: In the Beginning...,,Book of Genesis,,,,
The Big Bull,,Harshad Mehta,,,,
The Black Mikado,,Gilbert and Sullivan,,,,
The Blood of Others (film),,Simone de Beauvoir,,,,
The Blue Bird (1940 film),,Maurice Maeterlinck,,,,
The Blue Umbrella (2005 film),,Ruskin Bond,,,,
The Book of Daniel (film),,Book of Daniel,,,,
The Book of Esther (film),,Book of Esther,,,,
The Book of Negroes (miniseries),Drama (film and television),The Book of Negroes (novel),,http://dbpedia.org/resource/Lawrence_Hill,Lawrence Hill,1957-01-24
The Box (1975 film),,Ray Kolle,,,,
The Boy (musical),,The Magistrate (play),,,,
The Boy (musical),,Arthur Wing Pinero,,,,
The Boy and the Pirates,,Lillie Hayward,,,,
The Brave Tin Soldier (1934 film),,The Steadfast Tin Soldier,,http://dbpedia.org/resource/Hans_Christian_Andersen,Hans Christian Andersen,1805-04-02
The Brawler,,Muhammad Ali vs. Chuck Wepner,,,,
The Bridesmaid (film),,Ruth Rendell,Murder mystery,,,
The Bridesmaid (film),,Ruth Rendell,Psychological thriller,,,
The Broken Gate,,Emerson Hough,,,,
The Buccaneer (1938 film),,Lyle Saxon,,,,
The Cabbage Soup,,René Fallet,,,,
The Cardinal,,Henry Morton Robinson,,,,
The Catch of the Season,,Cinderella,,,,
The Circular Staircase (film),,The Circular Staircase,,http://dbpedia.org/resource/Mary_Roberts_Rinehart,Mary Roberts Rinehart,1876-08-12
The Cisco Kid (1994 film),,O. Henry,,,,
The Cokeville Miracle,,Cokeville Elementary School hostage crisis,,,,
The Cool Mikado,,Maurice Browning,,,,
The Cool Mikado,,W. S. Gilbert,,,,
The Crawling Hand,,Wm. Idelson,,,,
The Cross and the Switchblade (film),,David Wilkerson,,,,
The Cross and the Switchblade (film),,John and Elizabeth Sherrill,,,,
The Daughter (2015 film),,Henrik Ibsen,,,,
The Day of the Dolphin,,Robert Merle,,,,
The Deal (2003 film),,Blair-Brown deal,,,,
The Death of Superman (film),,DC Comics,Superhero fiction,,,
The Death of Superman (film),,DC Comics,Action fiction,,,
The Death of Superman (film),,DC Comics,Adventure fiction,,,
The Death of Superman (film),,DC Comics,Science fiction,,,
The Death of Superman (film),,DC Comics,Fantasy fiction,,,
The Desert Song (1929 film),,Sigmund Romberg,,,,
The Devil Bat,,George Bricker,,,,
The Devil Worshippers,,Karl May,Western fiction,,,
The Diary of Anne Frank (1959 film),,Anne Frank,,,,
The Diary of Anne Frank (1980 film),,Albert Hackett,,,,
The Disappearance (film),,Derek Marlowe,,,,
The Donkey Show (musical),,A Midsummer Night's Dream,Comedy (drama),http://dbpedia.org/resource/William_Shakespeare,William Shakespeare,
The Eagle's Eye,,William J. Flynn,,,,
The Farmer's Wife,,Adelaide Phillpotts,,,,
The Farmer's Wife,,Eden Phillpotts,,,,
The Fighting Redhead,,Fred Harman,,,,
The Firefly (1937 film),,The Firefly (operetta),,http://dbpedia.org/resource/Otto_Harbach,Otto Harbach,1873-08-18
The First Deadly Sin,,Lawrence Sanders,Mystery fiction,,,
The First Deadly Sin,,Lawrence Sanders,Crime,,,
The First Deadly Sin,,Lawrence Sanders,Fiction,,,
The Flash (film),,Lists of DC Comics characters,,,,
The Flying Scot (film),,Ralph Smart,,,,
The Friends of Eddie Coyle,,George V. Higgins,,,,
The Gay Amigo,,O. Henry,,,,
The Girl in the Kremlin,,DeWitt Bodeen,,,,
The Girl in the Kremlin,,Harry Ruskin,,,,
The Gnomes' Great Adventure,,The World of David the Gnome,Fantasy,,,
The Golden Apple (musical),,Iliad,,,,
The Golden Apple (musical),,Odyssey,,,,
The Good Earth (film),,Owen Davis,,,,
The Good Mother (1988 film),,Sue Miller,,,,
The Gospel According to St. Matthew (film),,Gospel of Matthew,,,,
The Great Gold Swindle,,Perth Mint Swindle,,,,
The Happy Time,,Samuel A. Taylor,,,,
The Hard Man,,Leo Katcher,,,,
The Hatter's Ghost,,Georges Simenon,,,,
The Headless Horseman (1934 film),,The Headless Horseman,,,,
The Hiding of Black Bill,,O. Henry,,,,
The Hook (1963 film),,Vahé Katcha,,,,
The Hot Rock (film),,Donald E. Westlake,Crime fiction,,,
The Hunt for Gollum,,J. R. R. Tolkien,Mythopoeia,,,
The Hunt for Gollum,,J. R. R. Tolkien,Literary criticism,,,
The Hunt for Gollum,,J. R. R. Tolkien,High fantasy,,,
The Hunt for Gollum,,J. R. R. Tolkien,Fantasy fiction,,,
The Ice Age Adventures of Buck Wild,,List of Ice Age characters,,,,
The Indian Fighter,,Robert L. Richards,,,,
The Inspector General (1949 film),,Nikolai Gogol,,,,
The Italian Straw Hat (film),,Eugène Marin Labiche,Dramaturgy,,,
The Kennel Murder Case (film),,S.S. Van Dine,,,,
The Knowledge (film),,Bob Brooks,,,,
The Land Before Time IX: Journey to Big Water,,Judy Freudberg,,,,
The Land Before Time IX: Journey to Big Water,,Tony Geiss,,,,
The Land Before Time V: The Mysterious Island,,Judy Freudberg,,,,
The Land Before Time V: The Mysterious Island,,Tony Geiss,,,,
The Land Before Time II: The Great Valley Adventure,,Judy Freudberg,,,,
The Land Before Time II: The Great Valley Adventure,,Tony Geiss,,,,
The Land Before Time III: The Time of the Great Giving,,Judy Freudberg,,,,
The Land Before Time III: The Time of the Great Giving,,Tony Geiss,,,,
The Land Before Time XI: Invasion of the Tinysauruses,,Judy Freudberg,,,,
The Land Before Time XI: Invasion of the Tinysauruses,,Tony Geiss,,,,
The Land Before Time X: The Great Longneck Migration,,Judy Freudberg,,,,
The Land Before Time X: The Great Longneck Migration,,Tony Geiss,,,,
The Last Angry Man,,Gerald Green (author),,,,
The Last Fiction,,Shahnameh,,,,
The Last Train from Madrid,,Elsie Fox,,,,
The Left Hand of God,,William Edmund Barrett,,,,
The Left-Hander (1987 film),,The Left-Hander (story),,,,
The Legend of Ben Hall,,Ben Hall (bushranger),,,,
The Legend of Lylah Clare,,Robert Thom (writer),,,,
The Legend of Mor'du,,Brenda Chapman,,,,
The Legend of Mor'du,,Mark Andrews (filmmaker),,,,
The Legend of Shankhadhar,,Sankhadhar Sakhwa,,,,
The Letter: A Message for our Earth,,Laudato si',,,,
The Life of Jimmy Dolan,,Beulah Marie Dix,,,,
The Life of Rufus Dawes,,Alfred Dampier,,,,
The Light Touch,,Tom Reed (screenwriter),,,,
The Lion Hunters,,Roy Rockwood,,,,
The Little Hut,,Nancy Mitford,,,,
The Little Hut,,André Roussin,,,,
